Fecha,Último horómetro conocido (Horas),Última hora informada del horómetro,Medidor de tiempo en vacío (horas),Última hora informada,Tiempo de funcionamiento (horas),Tiempo en vacío (horas),Tiempo de trabajo (horas),% en vacío,% en trabajo,Combustible consumido total (gal EE.UU.),Régimen de consumo total de combustible (gal EE.UU./Hora),Leyendas,Último informe de utilización,Desfase de zona horaria,Zona horaria,Nombre de visualización de zona horaria
2025-05-22,,,,,,,,,,,,,,,,
2025-05-21,13748.7347,2025-05-22T04:46:36Z,113.8000,2025-05-22T04:46:36Z,7.572,1.3,6.272,17.0000,83.0000,52.6249,6.9499,,2025-05-22T04:46:36Z,-05:00,America/Lima,PET
2025-05-20,13741.1631,2025-05-21T04:46:35Z,112.5000,2025-05-21T04:46:35Z,9.155,1.05,8.105,11.0000,89.0000,71.6250,7.8236,,2025-05-21T04:46:35Z,-05:00,America/Lima,PET
2025-05-19,13732.0083,2025-05-20T04:46:29Z,111.4500,2025-05-20T04:46:29Z,3.038,0.85,2.188,28.0000,72.0000,17.9999,5.9249,Value includes data accumulated over a period of time,2025-05-20T04:46:29Z,-05:00,America/Lima,PET
2025-05-18,,,,,,,,,,,,,,,,
2025-05-17,13728.9708,2025-05-18T04:46:32Z,110.6000,2025-05-18T04:46:32Z,0.0,0.0,0.0,,,0.0000,,,2025-05-18T04:46:32Z,-05:00,America/Lima,PET
2025-05-16,13728.9708,2025-05-17T04:46:37Z,110.6000,2025-05-17T04:46:37Z,6.222,0.75,5.472,12.0000,88.0000,45.3750,7.2927,,2025-05-17T04:46:37Z,-05:00,America/Lima,PET
2025-05-15,13722.7492,2025-05-16T04:46:37Z,109.8500,2025-05-16T04:46:37Z,6.904,0.7,6.204,10.0000,90.0000,51.2499,7.4232,,2025-05-16T04:46:37Z,-05:00,America/Lima,PET
2025-05-14,13715.8456,2025-05-15T04:46:38Z,109.1500,2025-05-15T04:46:38Z,7.364,0.75,6.614,10.0000,90.0000,52.8751,7.1802,,2025-05-15T04:46:38Z,-05:00,America/Lima,PET
2025-05-13,13708.4819,2025-05-14T04:46:33Z,108.4000,2025-05-14T04:46:33Z,6.572,1.25,5.322,19.0000,81.0000,44.8749,6.8282,,2025-05-14T04:46:33Z,-05:00,America/Lima,PET
2025-05-12,13701.9094,2025-05-13T04:46:35Z,107.1500,2025-05-13T04:46:35Z,8.19,0.8,7.39,10.0000,90.0000,58.5001,7.1429,,2025-05-13T04:46:35Z,-05:00,America/Lima,PET
2025-05-11,13693.7194,2025-05-12T04:46:32Z,106.3500,2025-05-12T04:46:32Z,0.0,0.0,0.0,,,0.0000,,,2025-05-12T04:46:32Z,-05:00,America/Lima,PET
2025-05-10,13693.7194,2025-05-11T04:46:33Z,106.3500,2025-05-11T04:46:33Z,0.0,0.0,0.0,,,0.0000,,,2025-05-11T04:46:33Z,-05:00,America/Lima,PET
2025-05-09,13693.7194,2025-05-10T04:46:36Z,106.3500,2025-05-10T04:46:36Z,5.677,0.85,4.827,15.0000,85.0000,40.6249,7.1560,,2025-05-10T04:46:36Z,-05:00,America/Lima,PET
2025-05-08,13688.0422,2025-05-09T04:46:36Z,105.5000,2025-05-09T04:46:36Z,0.0,0.0,0.0,,,0.0000,,,2025-05-09T04:46:36Z,-05:00,America/Lima,PET
2025-05-07,13688.0422,2025-05-08T04:46:31Z,105.5000,2025-05-08T04:46:31Z,0.0,0.0,0.0,,,0.0000,,,2025-05-08T04:46:31Z,-05:00,America/Lima,PET
2025-05-06,13688.0422,2025-05-07T04:46:33Z,105.5000,2025-05-07T04:46:33Z,0.0,0.0,0.0,,,0.0000,,,2025-05-07T04:46:33Z,-05:00,America/Lima,PET
2025-05-05,13688.0422,2025-05-06T04:46:35Z,105.5000,2025-05-06T04:46:35Z,1.498,0.55,0.948,37.0000,63.0000,7.6251,5.0902,,2025-05-06T04:46:35Z,-05:00,America/Lima,PET
2025-05-04,13686.5444,2025-05-05T04:46:30Z,104.9500,2025-05-05T04:46:30Z,0.0,0.0,0.0,,,0.0000,,,2025-05-05T04:46:30Z,-05:00,America/Lima,PET
2025-05-03,13686.5444,2025-05-04T04:46:33Z,104.9500,2025-05-04T04:46:33Z,0.0,0.0,0.0,,,0.0000,,,2025-05-04T04:46:33Z,-05:00,America/Lima,PET
2025-05-02,13686.5444,2025-05-03T04:46:34Z,104.9500,2025-05-03T04:46:34Z,0.0,0.0,0.0,,,0.0000,,,2025-05-03T04:46:34Z,-05:00,America/Lima,PET
2025-05-01,13686.5444,2025-05-02T04:46:33Z,104.9500,2025-05-02T04:46:33Z,0.0,0.0,0.0,,,0.0000,,,2025-05-02T04:46:33Z,-05:00,America/Lima,PET
